,,res.,yes/no,number,other,overall
0,VIT B/16 JFT,224,71.16,40.71,51.55,58.39
1,1T-CLIP,224,76.08,42.46,53.1,61.36
2,CLIP*,224,77.49,44.65,55.47,63.31
3,CLIPPO 50%C4,224,83.81,45.45,55.62,66.08
4,CLIPPO,224,83.01,46.36,56.55,66.29
5,CLIPPO 25%C4,224,84.48,46.18,56.27,66.74
6,CLIPPO L/16 50%C4,224,84.33,48.2,58.68,68.05
7,CLIPPO L/16,224,83.74,49.33,58.9,68.05
8,1T-CLIP L/16,224,84.03,49.41,59.53,68.48
9,CLIPPO L/16 25%C4 1T-CLIP,224 384,84.91 77.92,49.26 45.21,59.33 56.45,68.73 64.02
10,CLIPPO,384,84.22,47.94,58.62,67.95
11,CLIPPO 25%C4,384,86.91,49.34,60.52,70.12
12,CLIPPO L/16,384,86.26,51.91,61.89,70.79
13,1T-CLIP L/16,384,86.3,52.01,62.32,71.03
14,CLIPPO L/16 25%C4,384,86.85,53.57,63.05,71.78
15,METER CLIP B/32+BERT,224,,,,69.56
16,VILT B/32,384,,,,70.33
17,Pythia CLIP B/16,600,,,,62.72
18,MCAN CLIP B/32,600,,,,65.40
